Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"29.20000","0.73021","1.48861"
"29.30000","0.73259","1.46382"
"29.40000","0.73502","1.50896"
"29.50000","0.73763","1.52458"
"29.60000","0.74007","1.51546"
"29.70000","0.74262","1.52803"
"29.80000","0.74505","1.50174"
"29.90000","0.74749","1.53348"
"30.00000","0.75010","1.50974"
"30.10000","0.75259","1.48538"
"30.20000","0.75497","1.53831"
"30.30000","0.75752","1.52634"
"30.40000","0.76013","1.52911"
"30.50000","0.76262","1.53295"
"30.60000","0.76506","1.52123"
"30.70000","0.76755","1.53169"
"30.80000","0.77004","1.54560"
"30.90000","0.77259","1.56712"
"31.00000","0.77509","1.56568"
"31.10000","0.77752","1.51579"
"31.20000","0.78007","1.53779"
"31.30000","0.78251","1.56382"
"31.40000","0.78512","1.53958"
"31.50000","0.78761","1.56160"
"31.60000","0.79005","1.56386"
"31.70000","0.79260","1.56078"
"31.80000","0.79509","1.59391"
"31.90000","0.79764","1.57181"
"32.00000","0.80002","1.56610"
"32.10000","0.80251","1.56306"
"32.20000","0.80506","1.59596"
"32.30000","0.80761","1.57562"
"32.40000","0.80994","1.60717"
"32.50000","0.81254","1.62596"
"32.60000","0.81509","1.57374"
"32.70000","0.81759","1.61404"
"32.80000","0.81997","1.61861"
"32.90000","0.82252","1.64178"
"33.00000","0.82495","1.61688"
"33.10000","0.82756","1.58632"
"33.20000","0.83011","1.62360"
"33.30000","0.83260","1.60941"
"33.40000","0.83504","1.63008"
"33.50000","0.83759","1.59880"
"33.60000","0.84003","1.62295"
"33.70000","0.84252","1.62386"
"33.80000","0.84507","1.61231"
"33.90000","0.84756","1.63214"
"34.00000","0.85017","1.64434"
"34.10000","0.85249","1.62721"
"34.20000","0.85504","1.63990"
"34.30000","0.85759","1.64475"
"34.40000","0.86009","1.64475"
"34.50000","0.86252","1.64385"
"34.60000","0.86507","1.67174"
"34.70000","0.86751","1.62943"
"34.80000","0.87012","1.67052"
"34.90000","0.87261","1.67644"
"35.00000","0.87499","1.68171"
"35.10000","0.87754","1.66348"
"35.20000","0.88009","1.70748"
"35.30000","0.88253","1.67623"
"35.40000","0.88496","1.67326"
"35.50000","0.88757","1.66773"
"35.60000","0.89012","1.68182"
"35.70000","0.89261","1.66719"
"35.80000","0.89505","1.68117"
"35.90000","0.89749","1.70850"
"36.00000","0.90009","1.71193"
"36.10000","0.90264","1.68617"
"36.20000","0.90508","1.72086"
"36.30000","0.90763","1.69297"
"36.40000","0.91007","1.69181"
"36.50000","0.91262","1.70904"
"36.60000","0.91511","1.72642"
"36.70000","0.91743","1.69754"
"36.80000","0.92010","1.68493"
"36.90000","0.92259","1.73339"
"37.00000","0.92508","1.75201"
"37.10000","0.92758","1.67134"
"37.20000","0.93001","1.70514"
"37.30000","0.93256","1.73139"
"37.40000","0.93511","1.73544"
