Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"28.30000","0.70760","1.08815"
"28.40000","0.71003","1.11856"
"28.50000","0.71258","1.11169"
"28.60000","0.71502","1.14785"
"28.70000","0.71746","1.11348"
"28.80000","0.72001","1.09388"
"28.90000","0.72261","1.12362"
"29.00000","0.72499","1.12025"
"29.10000","0.72749","1.12936"
"29.20000","0.73009","1.14367"
"29.30000","0.73253","1.10123"
"29.40000","0.73508","1.16550"
"29.50000","0.73752","1.13056"
"29.60000","0.74001","1.14149"
"29.70000","0.74256","1.20566"
"29.80000","0.74511","1.14559"
"29.90000","0.74749","1.15875"
"30.00000","0.74998","1.11826"
"30.10000","0.75248","1.14673"
"30.20000","0.75503","1.16465"
"30.30000","0.75763","1.18834"
"30.40000","0.76001","1.16296"
"30.50000","0.76256","1.17647"
"30.60000","0.76517","1.21153"
"30.70000","0.76761","1.16165"
"30.80000","0.76999","1.17927"
"30.90000","0.77248","1.15793"
"31.00000","0.77503","1.16677"
"31.10000","0.77764","1.16159"
"31.20000","0.78002","1.19424"
"31.30000","0.78245","1.21437"
"31.40000","0.78500","1.19645"
"31.50000","0.78755","1.21086"
"31.60000","0.78999","1.20913"
"31.70000","0.79248","1.19858"
"31.80000","0.79498","1.19362"
"31.90000","0.79753","1.22936"
"32.00000","0.80008","1.21105"
"32.10000","0.80257","1.20655"
"32.20000","0.80506","1.23890"
"32.30000","0.80756","1.20404"
"32.40000","0.80999","1.25575"
"32.50000","0.81249","1.27915"
"32.60000","0.81504","1.24507"
"32.70000","0.81753","1.22026"
"32.80000","0.82014","1.21559"
"32.90000","0.82252","1.22225"
"33.00000","0.82501","1.21894"
"33.10000","0.82756","1.23791"
"33.20000","0.83005","1.27337"
"33.30000","0.83249","1.26739"
"33.40000","0.83510","1.21687"
"33.50000","0.83753","1.26637"
"33.60000","0.84003","1.28883"
"33.70000","0.84258","1.27960"
"33.80000","0.84496","1.23767"
"33.90000","0.84751","1.24486"
"34.00000","0.85006","1.24306"
"34.10000","0.85255","1.26628"
"34.20000","0.85499","1.25467"
"34.30000","0.85748","1.29854"
"34.40000","0.86009","1.31046"
"34.50000","0.86258","1.29593"
"34.60000","0.86507","1.28703"
"34.70000","0.86751","1.30406"
"34.80000","0.87006","1.28730"
"34.90000","0.87267","1.28041"
"35.00000","0.87505","1.30280"
"35.10000","0.87760","1.28356"
"35.20000","0.88003","1.28547"
"35.30000","0.88258","1.30218"
"35.40000","0.88513","1.27891"
"35.50000","0.88746","1.29623"
"35.60000","0.89001","1.30809"
"35.70000","0.89261","1.34904"
"35.80000","0.89505","1.28604"
"35.90000","0.89754","1.34830"
"36.00000","0.90004","1.32565"
"36.10000","0.90253","1.31798"
"36.20000","0.90508","1.33715"
"36.30000","0.90757","1.31825"
"36.40000","0.90995","1.36211"
"36.50000","0.91250","1.35758"
"36.60000","0.91511","1.36115"
"36.70000","0.91755","1.34733"
"36.80000","0.91993","1.34776"
"36.90000","0.92253","1.37467"
"37.00000","0.92503","1.35129"
"37.10000","0.92763","1.34398"
"37.20000","0.93007","1.39582"
"37.30000","0.93251","1.37962"
"37.40000","0.93506","1.37279"
"37.50000","0.93761","1.37851"
"37.60000","0.94004","1.36000"
"37.70000","0.94248","1.40824"
"37.80000","0.94503","1.38470"
"37.90000","0.94758","1.40285"
"38.00000","0.95007","1.40081"
"38.10000","0.95251","1.40418"
"38.20000","0.95500","1.42385"
"38.30000","0.95755","1.36626"
"38.40000","0.96010","1.40521"
"38.50000","0.96254","1.40959"
"38.60000","0.96498","1.39695"
"38.70000","0.96753","1.41965"
"38.80000","0.97008","1.39059"
"38.90000","0.97257","1.41682"
"39.00000","0.97501","1.42062"
"39.10000","0.97750","1.40002"
"39.20000","0.98005","1.43836"
"39.30000","0.98260","1.40061"
"39.40000","0.98504","1.42621"
"39.50000","0.98747","1.38017"
"39.60000","0.99002","1.42009"
"39.70000","0.99252","1.43984"
"39.80000","0.99507","1.44684"
"39.90000","0.99750","1.44418"
